DATE,JPNNGDP_NBD20000101
2000-01-01,100.00000
2001-01-01,99.29938
2002-01-01,97.92530
2003-01-01,97.84853
2004-01-01,98.81638
2005-01-01,99.43099
2006-01-01,99.90298
2007-01-01,100.67793
2008-01-01,98.53371
2009-01-01,92.41326
2010-01-01,94.39715
2011-01-01,92.90294
2012-01-01,93.45126
2013-01-01,95.01087
2014-01-01,96.83225
2015-01-01,100.43655
2016-01-01,101.58671
2017-01-01,103.23919
2018-01-01,103.89349
2019-01-01,104.13225
2020-01-01,100.69219
2021-01-01,103.29290
2022-01-01,104.88397
